team,hc,oc_playcaller,new_in_2026,prior_pass_rate_tendency,prior_pace_tendency,rb_usage_tendency,te_usage_tendency,source_url
ARI,Mike LaFleur (new HC; ex-LAR OC),Mike LaFleur (likely; OC Nathaniel Hackett),YES,UNVERIFIED (McVay-tree; no 2026 PROE figure found),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://sports.yahoo.com/articles/nfc-west-undergoing-coordinator-changes-052643101.html
ATL,Kevin Stefanski (new HC),Stefanski likely calls; OC name UNVERIFIED (earlier note: Rees),YES,UNVERIFIED (Stefanski CLE history: run/play-action lean; no 2026 figure found),UNVERIFIED,UNVERIFIED,UNVERIFIED (Stefanski CLE used heavy TE personnel - prior knowledge; UNCITED),https://www.cbssports.com/nfl/news/nfc-south-win-totals-2026-panthers-falcons-saints-buccaneers/
BAL,Jesse Minter (new HC),Declan Doyle (new OC; ex-CHI OC 2025 under Ben Johnson),YES,UNVERIFIED (first-time play-caller),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://en.wikipedia.org/wiki/List_of_current_NFL_offensive_coordinators
BUF,Joe Brady (promoted HC),Brady likely retains calls; OC name UNVERIFIED,HC new / play-caller continuity (UNVERIFIED),Brady BUF 2024-25: balanced-to-run-lean vs expectation (prior knowledge; UNCITED),UNVERIFIED,James Cook workhorse continuity (UNVERIFIED),UNVERIFIED,https://sports.yahoo.com/articles/afc-east-led-patriots-bills-021355675.html
CAR,Dave Canales,Brad Idzik (takes over play-calling from Canales),YES (play-caller),UNVERIFIED (first-time play-caller),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.nfl.com/news/nfc-south-training-camp-2026-preview-falcons-panthers-saints-buccaneers
CHI,Ben Johnson (yr 2),Ben Johnson (OC Declan Doyle left for BAL; new OC name UNVERIFIED),NO (play-caller),2025 CHI run: 5th in EPA/rush; controlled rushing attack per NFL.com,UNVERIFIED,UNVERIFIED,Loveland featured (NFL.com),https://www.nfl.com/news/top-10-nfl-offenses-in-2026-bears-bills-rams-headline-my-projection
CIN,Zac Taylor,Zac Taylor (OC Dan Pitcher since 2024),NO,UNVERIFIED (pass-heavy with Burrow - prior knowledge; UNCITED),UNVERIFIED,UNVERIFIED,UNVERIFIED,https://en.wikipedia.org/wiki/List_of_current_NFL_offensive_coordinators
CLE,Todd Monken (new HC; ex-BAL OC 2023-25),Monken likely calls; OC Travis Switzer (ex-BAL run-game coordinator),YES,UNVERIFIED (Monken BAL: run-heavy with Lamar/Henry - prior knowledge; UNCITED),UNVERIFIED,Judkins/Sampson committee expected (04-rb.md note; UNVERIFIED),UNVERIFIED,https://www.nfl.com/news/afc-north-training-camp-2026-preview-ravens-bengals-browns-steelers
DAL,Brian Schottenheimer,Schottenheimer (OC Klayton Adams returns),NO,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,https://www.rotowire.com/football/article/nfc-east-preview-2026-fantasy-impact-of-coaching-personnel-changes-125700
DEN,Sean Payton,Davis Webb (new OC; Payton publicly transferred play-calling to him),YES (play-caller),UNVERIFIED (first-time play-caller; Payton system),UNVERIFIED,Harvey/Dobbins split (04-rb.md note; UNVERIFIED),UNVERIFIED,https://www.rotowire.com/football/article/afc-west-preview-2026-fantasy-impact-of-coaching-personnel-changes-124758
