player,pos,injury_history,current_status_2026-09-04,lingering_flag,source_url,date
Christian McCaffrey,RB,Achilles tendinitis (bilateral):2024; PCL sprain (IR):2024; calf strain (camp):2026,"Back in full team drills after ~2 weeks out in Aug (calf tightness / planned load management); expected to play Week 1 (Sept 11 vs LAR, Melbourne). Age 30, 450 touches in 2025.",soft-tissue,https://bleacherreport.com/articles/25481651-christian-mccaffrey-injury-update-latest-49ers-stars-practice-status-ahead-2026-nfl-season ; https://sports.yahoo.com/articles/christian-mccaffrey-injury-latest-49ers-171745301.html,2026-09-04
Saquon Barkley,RB,high-ankle sprain (3 games):2023; stinger:2025; left foot/ankle scare at practice:2026,"Left foot/ankle checked by trainers at practice (cleat off, stayed on field) in early Sept; Eagles announced no diagnosis and no indication of significant injury. Treat as probable for Week 1 pending Wed report.",soft-tissue,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/saquon-barkley-gets-left-foot-ankle-checked-out-at-eagles-practice ; https://sports.yahoo.com/articles/eagles-share-concerning-injury-saquon-005052691.html,2026-09-04
Malik Nabers,WR,concussion (2 games):2024; torn ACL + meniscus (Week 4 vs LAC):2025,"Cleared for full-contact work ~Aug 30; HC John Harbaugh says could shed no-contact jersey and 'reasonable to assume' Week 1 (Sept 13 vs DAL), but Nabers himself is not committing and will not force it. ~11.5 months post-ACL at Week 1.",major-recovery,https://www.cbssports.com/nfl/news/malik-nabers-injury-status-giants-wr-shares-honest-assessment-of-progress-week-1-availability/ ; https://www.profootballrumors.com/2026/09/giants-wr-malik-nabers-uncertain-of-week-1-availability,2026-09-04
Ja'Marr Chase,WR,hip (4 games):2022; AC joint shoulder sprain:2023; hyperextended knee (practice):2026,Hyperextended knee at practice ~Aug 25 ('not very serious' per Chase); limited this week; Zac Taylor expects him 'good at the end of week'; on track for Sept 13 vs TB.,none,https://www.espn.com/nfl/story/_/id/49724848/bengals-jamarr-chase-says-fine-injury-scare ; https://sports.yahoo.com/nfl/article/jamarr-chase-will-be-limited-at-bengals-practice-this-week-after-last-weeks-knee-injury-scare-193633659.html,2026-09-04
Tee Higgins,WR,concussion:2022; rib fracture + hamstring:2023; hamstring + quad (5 games):2024; concussion:2025; heel contusion:2026,"Heel contusion; missed Wed Sept 2 practice but ran hills; Taylor: not a major concern, will be limited this week; expected for Sept 13 vs TB.",soft-tissue,https://www.cbssports.com/fantasy/football/news/bengals-tee-higgins-dealing-with-heel-injury/ ; https://sports.yahoo.com/articles/tee-higgins-injury-latest-bengals-152538571.html,2026-09-04
Puka Nacua,WR,"PCL sprain (IR, 6 games):2024; ankle sprain:2025; knee scare (practice):2025; psoas/groin soreness:2026",Psoas soreness from Aug 11 joint practice kept him out ~3 weeks; returned to practice ~Aug 30 and has stayed healthy; expected for Sept 10 vs SF (Melbourne). Separate NFL conduct review still pending with no ruling as of Sept 1 (suspension risk).,soft-tissue,https://www.therams.com/news/rams-puka-nacua-injury-update-cowboys-joint-practice-psoas ; https://www.deseret.com/sports/2026/09/01/puka-nacua-week-one-status-los-angeles-rams/,2026-09-04
George Kittle,TE,"groin/adductor (2 games):2022; hamstring:2024; hamstring (IR, 5 games):2025; torn Achilles (Jan 11 playoff vs PHI):2026","Activated from PUP ~Sept 1; practicing, has 'crushed' every benchmark; 'legitimate chance' for Sept 10 opener vs LAR but team needs more info over next couple of days. ~8 months post-Achilles repair.",major-recovery,https://www.cbssports.com/nfl/news/george-kittle-injury-update-latest-on-49ers-stars-status-potential-return/ ; https://www.49ers.com/news/day-16-of-2026-training-camp-george-kittle-s-remarkable-return,2026-09-04
Daniel Jones,QB,"neck (3 games):2023; torn ACL (Nov):2023; fibula fracture (played through):2025; torn Achilles (Week 14 vs JAX, Dec):2025",Says '100%'; took nearly every first-team rep from Day 1 of camp through final preseason practice; starting Sept 13 vs BAL. ~9 months post-Achilles.,major-recovery,https://www.nfl.com/news/colts-qb-daniel-jones-achilles-absolutely-expects-to-be-ready-week-1 ; https://www.colts.com/news/daniel-jones-achilles-recovery-rehab-training-camp-availability-week-1-nfl-season-opener-will-he-play,2026-09-04
Jeremiyah Love,RB,"high-ankle sprain (preseason vs LV, Aug 13, no surgery):2026","Rookie (#3 overall, ARI). '50-50' for Week 1 per Garafolo; 'trending in the right direction' per Gambadoro; no surgery; listed behind Tyler Allgeier on depth chart while hurt.",soft-tissue,https://www.profootballrumors.com/2026/09/cardinals-rb-jeremiyah-love-50-50-for-week-1 ; https://www.nfl.com/news/report-cardinals-rb-jeremiyah-love-unlikely-to-play-again-in-preseason-due-to-high-ankle-sprain,2026-09-04
Ashton Jeanty,RB,"right ankle sprain (practice, diving for pass, ~Aug 23):2026",Not a high-ankle sprain; Raiders did NOT place him on IR (expect return within 4 games); seen working with trainers Sept 1; Week 1 status unclear. Mike Washington Jr. next up.,soft-tissue,https://sports.yahoo.com/articles/ashton-jeanty-injury-raiders-practice-152408912.html ; https://heavy.com/sports/nfl/las-vegas-raiders/ashton-jeanty-good-news-injury-update/,2026-09-04
